1,11,请尝试重新签到，签到成功后再次刷卡尝试。
1,23,终端号可能已被使用或相关配置有误，请联系当地服务商，重新绑定其他终端号。
1,24,机具配置有误，请联系当地服务商更改机具配置。
1,25,请联系当地服务商重新绑定机具的终端号。
1,29,请您尝试如下操作：1.重新刷卡或更换银行卡进行再次尝试；2.若多张银行卡尝试均无效，请将机具交予当地服务商进行返厂维修。
1,40,不支持的交易功能，例如预授权交易，若开通此类型交易，请注意借记卡不支持预授权交易。
1,51,银行卡内金额不足或是该卡设定了交易限额。
1,55,持卡人输入的密码有误，请再次输入。
1,58,交易失败，可能原因：所持POS连接的固定电话不是签订合同时提交的号码
1,61,持卡人刷卡金额过大，可能该银行卡内金额不足或是该卡设定了交易限额导致交易失败。
1,96,交易失败，您的交易金额不能小于0.1元，请次再刷卡尝试。
1,97,请尝试重新签到，若仍有问题，请联系当地的服务商。
1,99,请尝试重新签到，若仍有问题，请联系当地的服务商重新绑定终端号。
1,A0,请尝试重新签到，签到成功后再刷卡尝试。
1,C4,1.请核实POS的接入方式与申请时是否一致；2.若为拨号POS请核实您现在使用的固话号码与签订合同时提交的号码是否一致。
2,02301,冲正已发起，该交易已取消
2,02302,该交易状态预计在T+2日内更新
2,02303,交易存在风险，详细原因请联系当地服务商
2,02304,交易未成功，详细原因请联系当地服务商
2,88888,交易失败，详细原因请联系当地服务商
3,02306,结算账户卡号和户名不一致，请核对结算账户信息
3,02307,结算账户不存在，请核对结算账户信息
3,02308,您的结算账户信息有误，请认真核对结算账户信息
3,02309,您的结算账户状态不正常，请联系相关银行
3,02310,您的结算账户已销户，请联系相关银行
3,02311,该笔结算会重新发起，请勿担心
3,02312,结算失败，详细原因请联系当地服务商
3,88888,详细原因请联系当地服务商
